Date,Total_kWh,Hour_of_Day,Day_of_week,Holiday,Weekend,Weekday,Working_Hour,Noon,Temperature,Dew Point,Humidity,Pressure,Solar
2018-07-01 00:00:00,176.26166666666668,0,6,0,1,0,0,0,25.0,24.2,95,1006.43,0
2018-07-01 01:00:00,177.3,1,6,0,1,0,0,0,25.5,24.8,96,1006.43,0
2018-07-01 02:00:00,177.0488333333333,2,6,0,1,0,0,0,25.8,24.9,95,1005.76,0
2018-07-01 03:00:00,175.12916666666666,3,6,0,1,0,0,0,25.7,24.7,94,1005.08,0
2018-07-01 04:00:00,183.175,4,6,0,1,0,0,0,26.3,24.6,90,1005.42,0
2018-07-01 05:00:00,181.88366666666664,5,6,0,1,0,0,0,26.3,24.6,90,1005.08,0
2018-07-01 06:00:00,160.37583333333333,6,6,0,1,0,0,0,26.5,24.7,90,1005.76,5
2018-07-01 07:00:00,157.98866666666666,7,6,0,1,0,0,0,27.1,24.9,88,1006.77,162
2018-07-01 08:00:00,142.76783333333336,8,6,0,1,0,1,0,28.4,24.8,81,1007.45,366
2018-07-01 09:00:00,117.386,9,6,0,1,0,1,0,29.5,24.6,75,1007.45,554
2018-07-01 10:00:00,118.58166666666668,10,6,0,1,0,1,0,31.1,24.9,70,1007.79,373
2018-07-01 11:00:00,120.378,11,6,0,1,0,1,0,32.2,24.8,65,1007.11,842
2018-07-01 12:00:00,123.81566666666669,12,6,0,1,0,0,1,32.9,23.6,58,1006.43,149
2018-07-01 13:00:00,125.621,13,6,0,1,0,1,0,32.8,25.1,64,1005.76,888
2018-07-01 14:00:00,125.46533333333336,14,6,0,1,0,1,0,33.2,25.2,63,1004.74,842
2018-07-01 15:00:00,124.36266666666668,15,6,0,1,0,1,0,34.1,25.5,61,1003.73,684
2018-07-01 16:00:00,136.078,16,6,0,1,0,1,0,34.2,25.1,59,1003.39,90
2018-07-01 17:00:00,165.169,17,6,0,1,0,0,0,33.2,25.5,64,1003.05,56
2018-07-01 18:00:00,188.05283333333333,18,6,0,1,0,0,0,32.0,25.6,69,1003.05,21
2018-07-01 19:00:00,203.833,19,6,0,1,0,0,0,30.6,25.6,75,1004.06,0
2018-07-01 20:00:00,215.05483333333336,20,6,0,1,0,0,0,28.4,25.0,82,1005.08,0
2018-07-01 21:00:00,185.634,21,6,0,1,0,0,0,28.9,25.7,83,1005.76,0
2018-07-01 22:00:00,180.6718333333333,22,6,0,1,0,0,0,28.3,25.3,84,1006.43,0
2018-07-01 23:00:00,165.65466666666666,23,6,0,1,0,0,0,28.6,25.4,83,1006.77,0
2018-07-02 00:00:00,165.98533333333333,0,0,0,0,1,0,0,28.0,25.2,85,1006.1,0
2018-07-02 01:00:00,161.67466666666667,1,0,0,0,1,0,0,28.3,25.5,85,1005.76,0
2018-07-02 02:00:00,159.64266666666668,2,0,0,0,1,0,0,27.2,25.6,91,1006.43,0
2018-07-02 03:00:00,161.6763333333333,3,0,0,0,1,0,0,27.2,25.8,92,1005.42,0
2018-07-02 04:00:00,175.7873333333333,4,0,0,0,1,0,0,27.3,24.8,86,1005.08,0
2018-07-02 05:00:00,170.42533333333333,5,0,0,0,1,0,0,27.6,24.8,85,1005.08,0
2018-07-02 06:00:00,196.0043333333333,6,0,0,0,1,0,0,27.4,24.5,84,1005.76,7
2018-07-02 07:00:00,388.5543333333333,7,0,0,0,1,0,0,27.8,24.2,81,1006.43,123
2018-07-02 08:00:00,879.3191666666667,8,0,0,0,1,1,0,29.2,24.3,75,1006.77,439
2018-07-02 09:00:00,790.1516666666666,9,0,0,0,1,1,0,29.9,24.3,72,1006.77,548
2018-07-02 10:00:00,788.2470000000001,10,0,0,0,1,1,0,31.3,24.4,67,1007.11,369
2018-07-02 11:00:00,623.2080000000001,11,0,0,0,1,1,0,30.4,25.4,75,1006.77,691
2018-07-02 12:00:00,347.8516666666667,12,0,0,0,1,0,1,32.5,24.6,63,1006.1,366
2018-07-02 13:00:00,830.9496666666666,13,0,0,0,1,1,0,33.1,25.1,63,1005.42,176
2018-07-02 14:00:00,772.4275,14,0,0,0,1,1,0,34.4,25.8,61,1004.4,1081
2018-07-02 15:00:00,680.7698333333333,15,0,0,0,1,1,0,33.6,25.0,61,1003.39,183
2018-07-02 16:00:00,505.4361666666666,16,0,0,0,1,1,0,25.3,23.9,92,1004.4,28
2018-07-02 17:00:00,262.3908333333333,17,0,0,0,1,0,0,26.1,24.5,91,1004.06,12
2018-07-02 18:00:00,242.3198333333333,18,0,0,0,1,0,0,27.1,25.3,90,1004.74,0
2018-07-02 19:00:00,226.239,19,0,0,0,1,0,0,27.3,25.2,88,1005.08,0
2018-07-02 20:00:00,166.146,20,0,0,0,1,0,0,27.5,24.9,86,1005.76,0
2018-07-02 21:00:00,144.235,21,0,0,0,1,0,0,27.8,24.8,84,1006.77,0
2018-07-02 22:00:00,137.93499999999997,22,0,0,0,1,0,0,28.0,24.4,81,1007.45,0
2018-07-02 23:00:00,131.7905,23,0,0,0,1,0,0,28.1,24.3,80,1007.45,0
2018-07-03 00:00:00,131.899,0,1,0,0,1,0,0,28.1,24.1,79,1007.11,0
2018-07-03 01:00:00,108.55133333333332,1,1,0,0,1,0,0,27.8,23.8,79,1006.43,0
2018-07-03 02:00:00,107.40749999999998,2,1,0,0,1,0,0,27.6,23.6,79,1005.42,0
2018-07-03 03:00:00,105.86,3,1,0,0,1,0,0,27.4,23.5,79,1005.08,0
2018-07-03 04:00:00,125.85833333333336,4,1,0,0,1,0,0,27.3,23.4,79,1005.08,0
2018-07-03 05:00:00,136.88016666666667,5,1,0,0,1,0,0,27.1,23.5,81,1005.42,0
2018-07-03 06:00:00,175.99166666666667,6,1,0,0,1,0,0,27.0,23.3,80,1006.1,9
2018-07-03 07:00:00,339.21816666666666,7,1,0,0,1,0,0,27.9,23.5,77,1006.43,167
2018-07-03 08:00:00,732.8673333333332,8,1,0,0,1,1,0,28.8,23.9,75,1006.77,369
2018-07-03 09:00:00,672.135,9,1,0,0,1,1,0,30.6,24.3,69,1006.77,529
2018-07-03 10:00:00,617.8906666666667,10,1,0,0,1,1,0,31.1,24.3,67,1006.77,272
2018-07-03 11:00:00,496.1773333333333,11,1,0,0,1,1,0,31.2,25.1,70,1006.43,301
2018-07-03 12:00:00,257.8523333333333,12,1,0,0,1,0,1,31.2,25.1,70,1005.76,362
2018-07-03 13:00:00,672.0458333333333,13,1,0,0,1,1,0,32.6,24.3,62,1004.74,260
2018-07-03 14:00:00,616.4413333333333,14,1,0,0,1,1,0,32.4,24.8,64,1004.06,221
2018-07-03 15:00:00,606.372,15,1,0,0,1,1,0,32.2,25.6,68,1003.39,158
2018-07-03 16:00:00,470.374,16,1,0,0,1,1,0,32.6,25.9,68,1002.71,141
2018-07-03 17:00:00,281.02166666666665,17,1,0,0,1,0,0,31.8,25.9,71,1002.71,383
2018-07-03 18:00:00,361.2383333333333,18,1,0,0,1,0,0,27.6,23.0,76,1003.73,12
2018-07-03 19:00:00,352.9388333333333,19,1,0,0,1,0,0,28.3,23.2,74,1004.4,0
2018-07-03 20:00:00,254.252,20,1,0,0,1,0,0,28.3,24.1,78,1004.74,0
2018-07-03 21:00:00,172.00616666666667,21,1,0,0,1,0,0,28.7,24.5,78,1005.08,0
2018-07-03 22:00:00,154.11383333333333,22,1,0,0,1,0,0,28.7,24.4,78,1006.43,0
2018-07-03 23:00:00,151.61583333333334,23,1,0,0,1,0,0,28.6,23.9,76,1006.43,0
2018-07-04 00:00:00,151.46166666666667,0,2,0,0,1,0,0,28.3,23.3,74,1005.76,0
2018-07-04 01:00:00,150.61216666666667,1,2,0,0,1,0,0,28.0,23.2,75,1005.42,0
2018-07-04 02:00:00,153.34333333333333,2,2,0,0,1,0,0,27.8,23.2,76,1005.08,0
2018-07-04 03:00:00,153.721,3,2,0,0,1,0,0,27.7,23.1,76,1004.74,0
2018-07-04 04:00:00,166.07316666666665,4,2,0,0,1,0,0,27.5,23.1,77,1005.08,0
2018-07-04 05:00:00,167.86033333333336,5,2,0,0,1,0,0,27.3,23.3,79,1005.42,0
2018-07-04 06:00:00,148.08566666666667,6,2,0,0,1,0,0,27.2,23.3,79,1005.76,9
2018-07-04 07:00:00,345.77750000000003,7,2,0,0,1,0,0,27.9,23.5,77,1006.43,211
2018-07-04 08:00:00,753.6553333333333,8,2,0,0,1,1,0,29.2,23.4,71,1006.77,397
2018-07-04 09:00:00,618.4046666666666,9,2,0,0,1,1,0,30.1,23.7,69,1007.11,682
2018-07-04 10:00:00,592.0191666666666,10,2,0,0,1,1,0,30.6,23.8,67,1007.11,469
2018-07-04 11:00:00,464.3008333333333,11,2,0,0,1,1,0,31.9,24.6,65,1006.43,287
2018-07-04 12:00:00,292.3401666666666,12,2,0,0,1,0,1,31.2,24.6,68,1005.76,410
2018-07-04 13:00:00,700.8196666666668,13,2,0,0,1,1,0,32.8,24.6,62,1005.08,311
2018-07-04 14:00:00,577.2326666666667,14,2,0,0,1,1,0,31.9,24.6,65,1004.4,522
2018-07-04 15:00:00,582.8019999999999,15,2,0,0,1,1,0,32.4,24.9,65,1003.73,854
2018-07-04 16:00:00,436.8753333333333,16,2,0,0,1,1,0,31.3,24.7,68,1003.05,181
2018-07-04 17:00:00,231.31016666666667,17,2,0,0,1,0,0,32.3,25.4,67,1003.05,380
2018-07-04 18:00:00,264.89866666666666,18,2,0,0,1,0,0,31.3,25.2,70,1003.05,135
2018-07-04 19:00:00,249.9568333333333,19,2,0,0,1,0,0,30.3,25.6,76,1003.39,0
2018-07-04 20:00:00,201.97916666666663,20,2,0,0,1,0,0,26.4,23.1,82,1004.74,0
2018-07-04 21:00:00,189.5378333333333,21,2,0,0,1,0,0,27.0,23.9,83,1004.74,0
2018-07-04 22:00:00,155.80300000000005,22,2,0,0,1,0,0,28.2,23.6,76,1005.08,0
2018-07-04 23:00:00,140.61033333333333,23,2,0,0,1,0,0,27.9,23.6,77,1005.42,0
2018-07-05 00:00:00,141.1668333333333,0,3,0,0,1,0,0,27.8,23.0,75,1005.08,0
2018-07-05 01:00:00,138.61699999999996,1,3,0,0,1,0,0,27.6,23.2,77,1004.74,0
2018-07-05 02:00:00,138.7303333333333,2,3,0,0,1,0,0,27.6,23.0,76,1004.4,0
2018-07-05 03:00:00,136.3276666666667,3,3,0,0,1,0,0,27.6,22.9,76,1004.4,0
2018-07-05 04:00:00,147.56133333333335,4,3,0,0,1,0,0,27.4,22.8,76,1004.06,0
2018-07-05 05:00:00,155.3785,5,3,0,0,1,0,0,27.3,22.9,77,1004.06,0
2018-07-05 06:00:00,161.57533333333333,6,3,0,0,1,0,0,26.9,23.0,79,1004.4,5
2018-07-05 07:00:00,310.3695,7,3,0,0,1,0,0,28.4,23.9,77,1004.74,146
2018-07-05 08:00:00,682.2354999999999,8,3,0,0,1,1,0,29.2,24.6,76,1005.08,346
2018-07-05 09:00:00,604.6166666666667,9,3,0,0,1,1,0,30.2,24.1,70,1005.08,652
2018-07-05 10:00:00,603.5973333333334,10,3,0,0,1,1,0,30.6,23.7,67,1005.08,529
2018-07-05 11:00:00,477.59816666666666,11,3,0,0,1,1,0,32.0,24.1,63,1004.4,895
2018-07-05 12:00:00,261.23566666666665,12,3,0,0,1,0,1,31.6,23.9,64,1004.06,253
2018-07-05 13:00:00,696.7728333333332,13,3,0,0,1,1,0,32.0,24.3,64,1003.39,318
2018-07-05 14:00:00,584.519,14,3,0,0,1,1,0,31.4,24.3,66,1003.05,371
2018-07-05 15:00:00,601.4169999999999,15,3,0,0,1,1,0,31.3,24.7,68,1002.03,471
2018-07-05 16:00:00,453.8145,16,3,0,0,1,1,0,31.7,25.3,69,1001.69,548
2018-07-05 17:00:00,268.38516666666663,17,3,0,0,1,0,0,31.2,25.1,70,1001.69,70
